Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,2061,2061,17,18.298285495,9.661098942160606,105.42833805084229,556.0451237263464,17.259385033354878,17.259385033354878,17,18,19,19,22,26,39,52,100,110,110
POST,/api/restock,506,506,17,19.791248694371447,11.794296093285084,113.60355699434876,556.1778656126482,4.237384195476744,4.237384195476744,17,18,19,20,23,31,77,99,110,110,110
POST,/api/restock [setup],35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714,0.29309969731558505,0.29309969731558505,63,82,85,88,92,150,160,160,160,160,160
,Aggregated,2602,2602,17,19.29903035853874,9.661098942160606,156.81199030950665,556.0599538816296,21.789868926147207,21.789868926147207,17,18,19,19,23,30,59,82,110,160,160
