Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,210,210,19000,13822.251857151943,1214.9465065449476,20181.333678774536,548.2190476190476,4.175659521165254,4.175659521165254,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,115,115,15000,10228.104366775116,183.93321242183447,19119.019033387303,548.1304347826087,2.2866706901619245,2.2866706901619245,15000,16000,17000,17000,18000,18000,19000,19000,19000,19000,19000
POST,/api/restock [setup],70,70,3900,4291.131438873708,3623.854171484709,4940.934755839407,539.0,1.3918865070550845,1.3918865070550845,4600,4800,4800,4900,4900,4900,4900,4900,4900,4900,4900
,Aggregated,395,395,15000,11086.79517190432,183.93321242183447,20181.333678774536,546.5594936708861,7.854216718382262,7.854216718382262,15000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000
