Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,196,196,20343.2995704934,20366.107154628073,20343.2995704934,21394.96487379074,288.0,1.0936399415530969,1.0936399415530969,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
POST,/api/restock,91,91,20343.401808291674,20377.585101002765,20343.401808291674,21376.565627753735,288.0,0.5077614014353664,0.5077614014353664,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
POST,/api/restock [setup],35,35,20344.785935245454,20424.190624883133,20344.785935245454,21355.521363206208,288.0,0.19529284670591013,0.19529284670591013,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,322,322,20343.2995704934,20375.664342761687,20343.2995704934,21394.96487379074,288.0,1.7966941896943733,1.7966941896943733,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
