Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,140,126,20000,20319.70327483224,19033.060358837247,21385.263822041452,306.45714285714286,1.1803462274875869,1.0623116047388281,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
POST,/api/restock,73,72,20000,19793.342052742024,165.94817768782377,20395.23939974606,277.64383561643837,0.615466247189956,0.6070352027079019,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock [setup],35,27,20000,20108.512628238117,16550.84854643792,21393.243543803692,246.85714285714286,0.2950865568718967,0.2276382010154632,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000
,Aggregated,248,225,20000,20134.96117062506,165.94817768782377,21393.243543803692,289.56451612903226,2.09089903154944,1.8969850084621933,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
