Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,124,115,20000,18002.86703603342,165.9101452678442,21382.750595919788,272.21774193548384,2.3971967216939603,2.2232066370548824,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000
POST,/api/restock,87,87,20000,14142.578117538715,176.82591918855906,21423.25308918953,198.6206896551724,1.681904151511085,1.681904151511085,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000
POST,/api/restock [setup],70,70,230,8980.598916366163,198.7559236586094,21445.76059933752,123.42857142857143,1.3532562138594937,1.3532562138594937,230,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,281,272,20000,14560.148515443572,165.9101452678442,21445.76059933752,212.36654804270464,5.432357087064539,5.258367002425461,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000
