Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,3,3,20000.108688138425,20007.931989617646,20000.108688138425,20013.98180797696,455.3333333333333,0.07489144741188512,0.07489144741188512,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,4,4,16000,17039.613380562514,15282.232546247542,19052.332973107696,539.0,0.09985526321584684,0.09985526321584684,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/restock [setup],3,3,18000,18374.34014833222,17047.25264478475,20030.77809792012,455.3333333333333,0.07489144741188512,0.07489144741188512,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Aggregated,10,10,18000,18330.526993609965,15282.232546247542,20030.77809792012,488.8,0.2496381580396171,0.2496381580396171,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
