Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,2054,2054,17,23.035423562861073,9.75455017760396,235.26989296078682,556.0817916260954,34.711410285195335,34.711410285195335,17,18,20,21,26,32,160,200,220,240,240
POST,/api/restock,502,502,17,29.72490776912773,10.070045944303274,272.39323733374476,556.0,8.483509232311615,8.483509232311615,17,19,20,22,27,140,250,260,270,270,270
POST,/api/restock [setup],70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286,1.1829594547048068,1.1829594547048068,200,220,220,220,230,230,240,240,240,240,240
,Aggregated,2626,2626,17,28.563037886009788,9.75455017760396,272.39323733374476,556.052551408987,44.377878972211754,44.377878972211754,17,19,20,22,28,140,210,230,270,270,270
