Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,83,83,17,17.56833663703986,13.349751010537148,30.89320845901966,556.3975903614457,1.4343735232871608,1.4343735232871608,17,18,18,19,19,23,26,31,31,31,31
POST,/api/restock,36,36,18,18.29187749212401,14.998767990618944,25.501218158751726,556.5,0.6221379137149131,0.6221379137149131,18,19,19,19,21,24,26,26,26,26,26
POST,/api/restock [setup],3,3,18,22.331698487202328,14.000250026583672,35.16247030347586,555.0,0.051844826142909424,0.051844826142909424,18,18,35,35,35,35,35,35,35,35,35
,Aggregated,122,122,17,17.898972344691636,13.349751010537148,35.16247030347586,556.3934426229508,2.1083562631449833,2.1083562631449833,17,18,19,19,20,23,26,31,35,35,35
