Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,2686,2686,16,16.773125855425512,10.020592715591192,54.25216071307659,556.1541325390916,14.968570333925033,14.968570333925033,16,17,18,18,20,22,26,29,46,54,54
POST,/api/restock,676,676,16,16.797436107798706,10.72825025767088,65.44313114136457,555.9733727810651,3.7672202329610283,3.7672202329610283,16,17,18,18,20,22,24,26,65,65,65
POST,/api/restock [setup],35,35,17,17.299542855471373,13.93835712224245,22.31263369321823,555.5714285714286,0.1950483848426568,0.1950483848426568,17,17,18,18,21,22,22,22,22,22,22
,Aggregated,3397,3397,16,16.783387358400457,10.020592715591192,65.44313114136457,556.1121577862821,18.930838951728717,18.930838951728717,16,17,18,18,20,22,25,28,46,65,65
