Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,43,0,18000,18220.626520317826,16143.931777216494,20007.78673030436,441.8837209302326,0.4852366038618033,0.0,18000,18000,19000,19000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,23,4,17000,17150.183985455205,10371.237140148878,20355.337979272008,139.30434782608697,0.2595451602051506,0.045138288731330536,17000,18000,19000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock [setup],14,2,18000,15726.850938384554,10362.299701198936,20362.44564782828,133.71428571428572,0.15798401055965688,0.022569144365665268,18000,18000,18000,19000,20000,20000,20000,20000,20000,20000,20000
,Aggregated,80,6,18000,17476.4635647065,10362.299701198936,20362.44564782828,300.9625,0.9027657746266108,0.06770743309699581,18000,18000,19000,19000,20000,20000,20000,20000,20000,20000,20000
