Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,235,235,19000,16799.155748187703,3286.13178152591,20154.907672666013,536.7106382978724,1.4781863276833613,1.4781863276833613,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,117,117,17000,14255.316278204704,1028.2541895285249,19076.2845473364,544.3846153846154,0.7359480865487373,0.7359480865487373,17000,17000,18000,18000,18000,19000,19000,19000,19000,19000,19000
POST,/api/restock [setup],35,35,9100,10183.994269663734,1981.5676230937243,20113.504183478653,539.0,0.22015541050603255,0.22015541050603255,9100,13000,16000,17000,19000,20000,20000,20000,20000,20000,20000
,Aggregated,387,387,18000,15431.817583494292,1028.2541895285249,20154.907672666013,539.2377260981912,2.4342898247381313,2.4342898247381313,18000,19000,19000,19000,20000,20000,20000,20000,20000,20000,20000
