Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,3,3,20007.2212042287,20011.097081316013,20007.2212042287,20018.68403237313,455.3333333333333,0.07488379302591402,0.07488379302591402,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,4,4,16000,16665.397301781923,15055.869919247925,19047.592063434422,539.0,0.09984505736788536,0.09984505736788536,17000,17000,19000,19000,19000,19000,19000,19000,19000,19000,19000
POST,/api/restock [setup],3,3,18000,18374.493868400652,17047.44424391538,20032.119777053595,455.3333333333333,0.07488379302591402,0.07488379302591402,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000
,Aggregated,10,10,18000,18181.83620562777,15055.869919247925,20032.119777053595,488.8,0.2496126434197134,0.2496126434197134,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
