Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,614,614,17,17.487270313888448,11.083753779530525,31.918101012706757,555.9804560260586,6.8840919104901,6.8840919104901,17,18,18,19,21,23,26,29,32,32,32
POST,/api/restock,150,150,17,18.519849066312116,12.323928065598011,45.31614761799574,556.16,1.6817814113575162,1.6817814113575162,17,18,19,19,23,29,44,44,45,45,45
POST,/api/restock [setup],14,14,35,38.30137932007866,29.062476009130478,53.02320001646876,556.8571428571429,0.15696626506003483,0.15696626506003483,38,44,45,45,49,53,53,53,53,53,53
,Aggregated,778,778,17,18.060900569608517,11.083753779530525,53.02320001646876,556.0308483290488,8.72283958690765,8.72283958690765,17,18,19,19,21,25,33,44,53,53,53
