Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/order,175,175,19000,16380.378823434668,3248.0188934132457,20132.479146122932,541.6628571428571,1.680454426046853,1.680454426046853,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
POST,/api/restock,90,90,16000,14009.721030077586,1447.3579283803701,19095.473675988615,546.0,0.8642337048240959,0.8642337048240959,17000,17000,18000,18000,19000,19000,19000,19000,19000,19000,19000
POST,/api/restock [setup],35,35,12000,12356.657024818871,10264.700460247695,14391.316434368491,539.0,0.33609088520937064,0.33609088520937064,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000
,Aggregated,300,300,18000,15199.747275589034,1447.3579283803701,20132.479146122932,542.6533333333333,2.8807790160803197,2.8807790160803197,18000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000
